ID,City,Type_of_restaurant,Restaurant_rating,Dine_in_peak_flag,Machine_breakdown_flag,Festival,Weatherconditions,Road_traffic_density,Restaurant_load,Number_of_delivery_partners_nearby,multiple_deliveries,Distance_km,Dynamic_Surge_Multiplier,Order_Date,Time_Orderd,Time_Order_picked,Kitchen_Prep_Time (min),Time_taken (min),hour_of_day,day_of_week,is_weekend,travel_time_total,first_mile_frac,first_mile_time,last_mile_time
DEL10000,Chennai,Cloud Kitchen,3.74,0,0,0,Rainy,Low,10,4,0,11.92,1.8,2025-02-21,14:42:00,15:35:00,37,82,14,4,0,45,0.4,18.0,27.0
DEL10001,Chennai,Cloud Kitchen,4.54,0,1,0,Rainy,Medium,9,16,1,14.14,1.3,2025-01-02,23:43:00,00:42:00,49,111,23,3,0,62,0.4,24.8,37.199999999999996
DEL10002,Hyderabad,Cloud Kitchen,3.75,0,0,0,Sunny,Low,13,24,0,1.65,1.0,2025-02-24,19:56:00,20:29:00,28,37,19,0,0,9,0.4,3.6,5.3999999999999995
DEL10003,Bangalore,Dine-in,4.35,0,0,0,Rainy,High,10,13,2,7.93,1.7,2025-03-01,06:43:00,07:41:00,41,104,6,5,1,63,0.4,25.200000000000003,37.8
DEL10004,Mumbai,Dine-in,4.32,0,0,0,Sunny,High,12,13,0,11.18,1.4,2025-03-03,03:13:00,03:57:00,37,76,3,0,0,39,0.4,15.600000000000001,23.4
DEL10005,Chennai,Dine-in,3.9,0,1,0,Sunny,Low,13,9,2,14.82,1.0,2025-02-14,00:24:00,01:38:00,53,112,0,4,0,59,0.4,23.6,35.4
DEL10006,Bangalore,Cloud Kitchen,3.96,0,0,0,Sunny,High,8,7,0,9.73,1.4,2025-02-10,06:08:00,06:49:00,28,80,6,0,0,52,0.4,20.8,31.2
DEL10007,Delhi,Dine-in,4.55,1,0,0,Rainy,Medium,10,14,0,11.65,1.5,2025-02-16,13:02:00,13:53:00,40,84,13,6,1,44,0.4,17.6,26.4
DEL10008,Bangalore,Dine-in,4.36,0,0,0,Rainy,Medium,16,3,1,2.95,2.1,2025-02-21,03:29:00,04:41:00,50,84,3,4,0,34,0.4,13.600000000000001,20.4
DEL10009,Pune,Cloud Kitchen,3.98,0,0,0,Sunny,Medium,8,5,0,7.39,1.0,2025-03-03,20:05:00,20:44:00,24,54,20,0,0,30,0.4,12.0,18.0
DEL10010,Bangalore,Home Kitchen,4.1,0,0,0,Rainy,Medium,7,16,0,13.05,1.3,2025-01-27,19:12:00,19:56:00,39,81,19,0,0,42,0.4,16.8,25.2
DEL10011,Chennai,Dine-in,4.1,0,0,0,Sunny,Medium,12,21,2,6.65,1.0,2025-02-01,23:40:00,00:26:00,31,70,23,5,1,39,0.4,15.600000000000001,23.4
DEL10012,Delhi,Dine-in,4.04,0,0,0,Cloudy,Low,7,21,1,8.04,1.0,2025-02-28,16:01:00,16:47:00,36,69,16,4,0,33,0.4,13.200000000000001,19.8
DEL10013,Mumbai,Dine-in,4.47,0,0,0,Sunny,Medium,6,7,1,14.77,1.0,2025-01-24,04:51:00,05:45:00,36,88,4,4,0,52,0.4,20.8,31.2
DEL10014,Chennai,Dine-in,3.94,0,0,0,Sunny,Medium,16,22,1,10.96,1.3,2025-02-28,03:18:00,04:09:00,41,74,3,4,0,33,0.4,13.200000000000001,19.8
DEL10015,Mumbai,Dine-in,3.79,0,0,0,Rainy,Medium,18,10,0,8.58,1.6,2025-01-11,17:22:00,18:18:00,46,77,17,5,1,31,0.4,12.4,18.599999999999998
DEL10016,Mumbai,Home Kitchen,4.38,0,0,0,Cloudy,High,16,24,1,12.99,1.7,2025-02-17,15:02:00,15:49:00,37,88,15,0,0,51,0.4,20.400000000000002,30.599999999999998
